identifier,class,subclass,luminosity_class,full_class,recno,spt,effective_temperature_1,log_surface_gravity_1,metallicity_fe_h_1,visual_magnitude,effective_temperature_2,log_surface_gravity_2,metallicity_fe_h_2,radius,mass,luminosity,distance,lamost,date
19850119_J025942.96+011122.1,F,F0,,F0,2251,kA5hA8mA9,7569.0,3.86,0.22,12.872,7571.0,4.1632,0.222,1.82,1.76,9.80948,1171.02,J025942.96+011122.1,1985-01-19 10:44:00
19850119_J025947.35+020834.1,A,A6,IV,A6IV,2254,kA4hA9mA9,7124.0,4.187,-0.367,14.712,7137.0,3.8647,-0.378,2.44,1.59,13.91443,3164.3701,J025947.35+020834.1,1985-01-19 11:57:00
19850119_J030043.83+021812.4,A,A2,V,A2V,2273,kA3hA5mA7,,,,12.446,6234.0,4.3243,,1.254,1.21,2.13966,440.936,J030043.83+021812.4,1985-01-19 10:44:00
19850119_J030336.54+025459.5,A,A7,V,A7V,2332,kA3hA6mA7,7254.0,4.186,-0.467,12.935,7232.0,4.3071,-0.4705,1.48,1.62,5.39942,905.666,J030336.54+025459.5,1985-01-19 10:44:00
19861124_J025406.46+025537.7,A,A3,V,A3V,2151,kA2hA4mA7,,,,16.013,6383.0,4.3332,,1.277,1.28,2.43731,2151.96,J025406.46+025537.7,1986-11-24 15:16:00
19851023_J025506.03+033053.1,A,A3,IV,A3IV,2170,kA2hA8mA8,,,,13.68,7639.0,4.379,,1.428,1.78,6.25691,1307.1801,J025506.03+033053.1,1985-10-23 16:20:00
19821004_J031728.70+042733.1,A,A6,IV,A6IV,2626,kA1hA9mF2,,,,11.061,7275.0,4.0183,,2.076,1.64,10.88016,537.099,J031728.70+042733.1,1982-10-04 20:28:00
19850108_J024412.75+032719.1,A,A6,IV,A6IV,1963,kA2hA8mA7,,,,13.904,,,,,,,1737.0,J024412.75+032719.1,1985-01-08 12:32:00
19851023_J025238.06+043338.9,A,A6,IV,A6IV,2120,kA2hA4mA6,8371.0,4.472,-0.349,13.887,8335.0,4.4847,-0.364,1.36,2.06,8.04498,1664.79,J025238.06+043338.9,1985-10-23 16:20:00
19841225_J025213.87+053022.6,A,A9,V,A9V,2112,kA7hF3mF6,6859.0,4.207,0.446,,,,,,,,,J025213.87+053022.6,1984-12-25 13:11:00
19850108_J024848.07+052529.9,F,F0,,F0,2061,kA2hA5mA9,7400.0,3.981,0.204,12.573,7403.0,4.3046,0.204,1.516,1.69,6.2171,770.976,J024848.07+052529.9,1985-01-08 12:32:00
19851004_J024720.46+063751.4,A,A2,IV,A2IV,2033,kA1hA5mA4,,,,14.624,8445.0,4.4287,,1.465,2.1,9.83232,2189.8101,J024720.46+063751.4,1985-10-04 17:41:00
19851023_J030511.83+072728.4,A,A7,V,A7V,2367,kA2hA5mA9,,,,12.716,7450.0,4.125,0.111,1.875,1.71,9.75537,810.01,J030511.83+072728.4,1985-10-23 16:20:00
19860127_J032132.24+064043.5,F,F0,,F0,2691,kA6hF1mF1,7045.0,4.006,-0.277,11.917,7005.0,4.1745,-0.251,1.681,1.54,6.12855,477.694,J032132.24+064043.5,1986-01-27 12:31:00
19860127_J032731.70+072138.0,F,F0,,F0,2786,kA5hA7mA9,7608.0,3.896,0.324,10.65,7420.0,4.2053,,1.705,1.7,7.93468,369.055,J032731.70+072138.0,1986-01-27 12:31:00
19860127_J031607.86+070454.6,A,A7,II,A7II,2595,kA7hF0mF0,7131.0,4.211,-0.132,,,,,,,,,J031607.86+070454.6,1986-01-27 12:31:00
19811123_J033448.81+092317.9,A,A7,V,A7V,2920,kA3hA5mA8,7394.0,4.263,-0.428,12.956,7437.0,4.1838,-0.4436,1.747,1.7,8.41672,735.723,J033448.81+092317.9,1981-11-23 16:19:00
19860127_J032720.30+094928.2,A,A7,V,A7V,2780,kA6hF0mF0,,,,12.906,7233.0,,-0.308,1.508,,,745.917,J032720.30+094928.2,1986-01-27 12:31:00
19901218_J033116.52+103758.5,F,F0,,F0,2851,kA4hF1mF1,7214.0,4.169,-0.351,15.38,7081.0,3.6848,,2.983,1.57,20.14888,3756.5901,J033116.52+103758.5,1990-12-18 13:12:00
19860127_J031035.71+090253.4,A,A5,V,A5V,2476,kA1hA7mA9,,,,13.143,7397.0,4.2559,,1.603,1.69,6.93308,821.674,J031035.71+090253.4,1986-01-27 12:31:00
19860127_J031542.89+091020.1,A,A7,IV,A7IV,2587,kA8hF2mF2,7088.0,4.219,-0.195,,,,,,,,,J031542.89+091020.1,1986-01-27 12:31:00
19911111_J030908.39+105358.6,A,A1,,A1,2453,kA7hF4mF3,,,,13.598,9414.0,3.6379,,3.884,2.39,106.75336,3849.05,J030908.39+105358.6,1991-11-11 16:41:00
19821001_J031026.69+111625.8,A,A7,IV,A7IV,2473,kA6hA5mF0,,,,11.457,7233.0,,-0.124,1.685,,,343.659,J031026.69+111625.8,1982-10-01 20:16:00
19850131_J032728.67+104156.2,A,A7,V,A7V,2785,kA2hA8mA8,,,,11.241,7880.0,4.3079,,1.594,1.882,8.82177,374.396,J032728.67+104156.2,1985-01-31 10:48:00
19860113_J031914.76+130132.8,F,F0,,F0,2649,kA4hA7mA9,7489.0,4.08,-0.299,14.559,7488.0,4.4926,-0.3119,1.232,1.72,4.29701,949.126,J031914.76+130132.8,1986-01-13 12:01:00
19851012_J025630.52+095718.5,A,A6,IV,A6IV,2197,kA4hA9mA9,7115.0,4.265,-0.329,15.419,7115.0,4.2183,-0.33,1.619,1.58,6.0488,1948.65,J025630.52+095718.5,1985-10-12 17:16:00
19850117_J022019.36+101046.4,A,A7,V,A7V,1579,kA3hA5mA8,,,,13.399,7278.0,4.195,,1.694,1.64,7.25587,1238.03,J022019.36+101046.4,1985-01-17 10:42:00
19850117_J022756.30+111038.1,F,F0,,F0,1675,kA6hF0mF0,7076.0,4.116,-0.171,15.035,7076.0,4.288,-0.171,1.489,1.57,5.00954,1990.45,J022756.30+111038.1,1985-01-17 11:54:00
19851004_J024152.78+105010.2,F,F0,,F0,1910,kA7hF6mF6,6487.0,3.996,-0.515,13.93,6485.0,3.9166,-0.518,2.094,1.32,6.99034,1341.22,J024152.78+105010.2,1985-10-04 19:01:00
19851004_J023754.67+104732.8,A,A2,IV,A2IV,1829,kA1hA4mA3,,,,11.756,7876.0,3.8349,,2.746,1.88,26.13886,1025.26,J023754.67+104732.8,1985-10-04 19:01:00
19860929_J023705.14+114745.6,A,A3,IV,A3IV,1815,kA2hA3mA6,,,,16.597,6841.0,4.6518,,0.951,1.48,1.78537,3469.3899,J023705.14+114745.6,1986-09-29 18:30:00
19821001_J030134.29+124047.6,A,A5,V,A5V,2289,kA3hA8mA8,7653.0,3.897,0.037,10.776,7653.0,3.952,0.037,2.341,1.79,16.94488,543.873,J030134.29+124047.6,1982-10-01 20:08:00
19821001_J031140.90+130243.0,F,F0,,F0,2503,kA4hF5mF7,6172.0,4.393,0.073,11.284,5438.0,4.1778,,1.314,0.948,1.35995,198.444,J031140.90+130243.0,1982-10-01 20:13:00
19860113_J031647.47+144920.5,F,F0,,F0,2612,kA4hA7mA9,7386.0,3.916,0.213,13.515,7388.0,3.7304,0.215,2.927,1.68,23.00087,2162.3899,J031647.47+144920.5,1986-01-13 10:47:00
19821001_J030636.34+135927.5,A,A5,V,A5V,2394,kA2hA7mA7,,,,12.183,7810.0,4.0841,,2.044,1.85,14.00984,919.272,J030636.34+135927.5,1982-10-01 20:15:00
19871024_J031043.55+144514.5,A,A7,V,A7V,2480,kA3hA5mA7,7358.0,4.264,-0.653,15.459,7404.0,4.2273,,1.657,1.69,7.43445,2814.3301,J031043.55+144514.5,1987-10-24 16:09:00
19860113_J031214.58+152748.3,A,A6,IV,A6IV,2517,kA2hA6mA5,,,,15.089,7837.0,4.246,,1.701,1.86,9.83814,2853.8201,J031214.58+152748.3,1986-01-13 12:01:00
19860113_J031444.55+152234.6,F,F0,,F0,2572,kA7hA9mF0,7505.0,3.959,0.118,12.708,7496.0,4.1095,0.115,1.92,1.73,10.48576,1018.28,J031444.55+152234.6,1986-01-13 10:47:00
19850116_J024931.31+132252.7,A,A7,V,A7V,2074,kA5hF0mF0,,,,13.563,7111.0,3.495,,3.723,1.58,31.92504,2763.75,J024931.31+132252.7,1985-01-16 10:29:00
19860929_J024909.90+132343.4,F,F0,,F0,2068,kA2hA4mA7,,,,15.087,6266.0,4.7261,,0.793,1.22,0.87297,914.189,J024909.90+132343.4,1986-09-29 18:30:00
19850122_J030030.29+150603.4,F,F0,,F0,2267,kA8hF1mF3,7081.0,4.047,0.206,13.488,7085.0,3.8154,0.209,2.566,1.57,14.9445,1627.39,J030030.29+150603.4,1985-01-22 11:57:00
19911208_J031030.71+165427.7,F,F0,,F0,2474,kA7hF4mF5,6532.0,4.14,-0.35,14.865,6460.0,4.2425,,1.434,1.31,3.22438,1515.16,J031030.71+165427.7,1991-12-08 13:57:00
19850122_J030315.59+164855.1,A,A6,IV,A6IV,2328,kA3hA5mA7,,,,11.215,7962.0,3.6995,,3.243,1.92,38.0752,1051.71,J030315.59+164855.1,1985-01-22 11:57:00
19901012_J025952.96+172246.6,F,F0,,F0,2258,kA7hF2mF2,6352.0,4.185,-0.825,15.202,6255.0,4.1429,,1.552,1.22,3.32024,1893.73,J025952.96+172246.6,1990-10-12 17:47:00
19911208_J030051.08+181323.9,F,F0,,F0,2274,kA7hF3mF7,6605.0,4.24,-0.134,,,,,,,,,J030051.08+181323.9,1991-12-08 15:11:00
19911208_J025801.58+181303.2,A,A5,,A5,2228,kA7hF3mF7,,,,13.977,7736.0,4.5402,-0.344,1.199,1.82,4.64051,1057.27,J025801.58+181303.2,1991-12-08 15:11:00
19830927_J034730.58+112742.7,F,F0,,F0,3290,kA3hF2mF3,7179.0,4.11,0.324,11.513,7177.0,,0.323,1.895,,,374.715,J034730.58+112742.7,1983-09-27 18:57:00
19870215_J035241.31+120441.7,A,A7,V,A7V,3450,kA7hF0mF0,,,,11.919,7131.0,3.745,,2.8,1.59,18.27048,864.231,J035241.31+120441.7,1987-02-15 10:50:00
19900124_J033510.55+121627.6,F,F0,,F0,2930,kA3hA6mA8,7308.0,4.057,-0.029,13.063,7063.0,4.029,,2.0,1.56,8.97053,700.54,J033510.55+121627.6,1990-01-24 10:55:00
19861201_J033738.11+122039.1,A,A6,IV,A6IV,2999,kA2hA4mA7,,,,15.108,7191.0,4.2085,,1.653,1.61,6.57981,1669.79,J033738.11+122039.1,1986-12-01 14:48:00
19900124_J034227.54+125323.5,A,A5,V,A5V,3139,kA3hA7mF5,,,,11.695,7771.0,3.3559,,4.715,1.84,73.05198,1455.48,J034227.54+125323.5,1990-01-24 10:55:00
19831221_J034426.63+131440.4,A,A1,IV,A1IV,3204,kA1hA2mA4,,,,13.938,8129.0,4.2516,,1.744,1.98,11.96805,1572.62,J034426.63+131440.4,1983-12-21 13:39:00
19900124_J034324.21+131441.8,F,F0,,F0,3173,kA7hF0mF0,7283.0,3.936,0.032,11.766,7310.0,4.232,0.056,1.628,1.65,6.82287,455.135,J034324.21+131441.8,1990-01-24 10:55:00
19861220_J034205.19+131411.1,F,F0,,F0,3128,kA4hA7mF1,7367.0,4.039,-0.032,12.932,7003.0,4.1717,,1.686,1.54,6.16247,722.583,J034205.19+131411.1,1986-12-20 13:25:00
19861201_J034153.92+134029.4,A,A6,IV,A6IV,3119,kA2hA7mA7,,,,15.043,7280.0,3.952,,2.241,1.64,12.71062,2720.3301,J034153.92+134029.4,1986-12-01 14:48:00
19861220_J034447.03+141724.6,A,A7,V,A7V,3212,kA3hA5mA7,,,,13.798,,,,,,,843.211,J034447.03+141724.6,1986-12-20 13:25:00
19870921_J035417.37+123653.0,A,A6,IV,A6IV,3501,kA2hA5mA5,,,,15.476,8048.0,4.3028,,1.632,1.95,10.06326,3375.73,J035417.37+123653.0,1987-09-21 19:50:00
19900123_J035549.68+125640.4,F,F2,,F2,3545,kA9hF8mF7,6018.0,4.162,-0.588,11.558,6078.0,4.3927,,1.123,1.137,1.55181,245.42,J035549.68+125640.4,1990-01-23 10:52:00
19890208_J035927.67+134346.1,A,A1,V,A1V,3656,kA0hA1mA2,,,,,,,,,,,,J035927.67+134346.1,1989-02-08 11:31:00
19861201_J035421.81+132604.9,A,A7,V,A7V,3504,kA5hA9mF0,7383.0,3.996,-0.251,14.386,7084.0,3.67,,3.034,1.57,20.88344,3013.1201,J035421.81+132604.9,1986-12-01 14:48:00
19841015_J035717.82+135850.5,F,F0,,F0,3590,kA2hA6mF0,7229.0,4.007,0.212,12.904,7231.0,4.1036,0.21,1.871,1.62,8.61908,874.449,J035717.82+135850.5,1984-10-15 19:51:00
19841015_J035721.56+143522.1,A,A7,V,A7V,3593,kA3hA6mA8,7192.0,4.183,-0.273,12.999,7193.0,4.134,-0.272,1.801,1.61,7.81907,780.066,J035721.56+143522.1,1984-10-15 19:51:00
19881031_J040139.16+151152.8,A,A1,IV,A1IV,3756,kA1hA2mA3,,,,10.58,8457.0,4.3037,,1.692,2.1,13.18671,372.267,J040139.16+151152.8,1988-10-31 18:45:00
19890208_J040139.45+151152.8,A,A2,IV,A2IV,3757,kA1hA2mA3,,,,,,,,,,,,J040139.45+151152.8,1989-02-08 11:31:00
19871118_J034601.00+142749.0,A,A6,IV,A6IV,3255,kA7hF0mF0,7346.0,4.166,-0.118,12.636,7264.0,4.3192,-0.145,1.468,1.64,5.409,604.038,J034601.00+142749.0,1987-11-18 16:47:00
19900219_J035137.54+152308.5,A,A6,IV,A6IV,3411,kA6hA9mF0,7147.0,3.938,-0.243,12.15,6843.0,3.7236,,2.769,1.48,15.15077,711.422,J035137.54+152308.5,1990-02-19 11:11:00
19841217_J035353.52+150911.0,A,A2,IV,A2IV,3483,kA1hA3mA5,,,,15.389,8306.0,3.9622,,2.476,2.05,26.29839,4360.1699,J035353.52+150911.0,1984-12-17 14:35:00
19860220_J035633.89+153417.1,A,A5,V,A5V,3567,kA2hA8mA8,,,,12.497,7378.0,4.1031,,1.906,1.68,9.70007,836.752,J035633.89+153417.1,1986-02-20 11:27:00
19841217_J040107.00+153545.9,A,A7,IV,A7IV,3726,kA2hA4mA7,,,,,,,,,,,,J040107.00+153545.9,1984-12-17 14:35:00
19831221_J033423.71+121826.2,A,A2,IV,A2IV,2907,kA1hA2mA4,,,,12.225,8648.0,3.9306,,2.636,2.16,35.01594,1633.0,J033423.71+121826.2,1983-12-21 13:39:00
19831221_J033225.66+122139.4,A,A7,V,A7V,2870,kA7hA7mF1,,,,,,,,,,,,J033225.66+122139.4,1983-12-21 13:39:00
19850131_J033341.37+132103.5,F,F0,,F0,2891,kA8hF5mF5,6651.0,4.158,-0.194,13.749,6644.0,3.9188,-0.1943,2.151,1.4,8.12532,1093.59,J033341.37+132103.5,1985-01-31 10:48:00
19831221_J034205.42+135431.8,A,A6,IV,A6IV,3129,kA2hA5mA5,8414.0,4.161,0.184,12.946,7469.0,4.0913,,1.955,1.72,10.71701,915.301,J034205.42+135431.8,1983-12-21 13:39:00
19900124_J033842.04+142036.7,F,F2,,F2,3031,kA9hF3mF8,,,,13.352,6142.0,4.2311,-0.127,1.367,1.16,2.39475,515.721,J033842.04+142036.7,1990-01-24 10:55:00
19861220_J033740.52+143508.5,A,A7,V,A7V,3001,kA6hF1mA9,,,,12.333,7279.0,4.2141,-0.248,1.657,1.64,6.94792,586.456,J033740.52+143508.5,1986-12-20 13:25:00
19871118_J033754.18+150032.3,A,A7,V,A7V,3009,kA4hA5mA9,7212.0,4.087,-0.346,12.819,7161.0,3.7309,-0.362,2.855,1.6,19.31273,1255.47,J033754.18+150032.3,1987-11-18 16:47:00
19851220_J032431.47+144604.5,A,A2,V,A2V,2743,kA1hA2mA4,,,,11.68,8026.0,3.8335,,2.794,1.94,29.18122,1129.02,J032431.47+144604.5,1985-12-20 13:48:00
19861220_J032945.92+152045.0,F,F0,,F0,2824,kA5hA8mA8,7555.0,3.94,0.076,12.454,7529.0,4.2958,0.069,1.554,1.74,6.98982,866.792,J032945.92+152045.0,1986-12-20 13:25:00
19861220_J033218.46+151707.9,A,A7,V,A7V,2869,kA3hA5mA7,7472.0,4.163,-0.38,14.289,7200.0,4.2051,,1.659,1.61,6.6657,1674.04,J033218.46+151707.9,1986-12-20 13:25:00
19861220_J033615.61+151546.4,A,A7,V,A7V,2967,kA3hA5mA7,,,,,,,,,,,,J033615.61+151546.4,1986-12-20 13:25:00
19831221_J033529.52+152044.9,A,A7,V,A7V,2938,kA3hA5mA7,,,,10.136,,,,,,,,J033529.52+152044.9,1983-12-21 13:39:00
19851220_J033529.71+152044.8,A,A7,V,A7V,2939,kA4hA6mA7,,,,,,,,,,,,J033529.71+152044.8,1985-12-20 13:48:00
19861220_J033739.12+153510.4,A,A7,V,A7V,3000,kA7hF0mF0,,,,11.418,6843.0,,,,,,496.481,J033739.12+153510.4,1986-12-20 13:25:00
19851220_J033758.16+155256.1,A,A2,IV,A2IV,3012,kA1hA8mA7,7973.0,4.076,-0.195,13.711,7975.0,4.3567,-0.194,1.522,1.92,8.43791,1398.7,J033758.16+155256.1,1985-12-20 13:48:00
19880121_J033548.40+154936.7,A,A6,IV,A6IV,2948,kA3hA6mA7,7941.0,4.298,-0.26,14.622,7254.0,3.9356,,2.277,1.63,12.93138,2740.6599,J033548.40+154936.7,1988-01-21 11:32:00
19851220_J033047.88+155405.7,A,A7,V,A7V,2844,kA3hA8mA7,,,,12.377,7388.0,4.3147,,1.494,1.68,5.99046,698.797,J033047.88+155405.7,1985-12-20 13:48:00
19900219_J034849.88+152410.6,A,A6,IV,A6IV,3337,kA7hF2mF0,7392.0,4.112,-0.123,,,,,,,,,J034849.88+152410.6,1990-02-19 11:11:00
19841224_J034828.53+153354.6,A,A7,V,A7V,3324,kA6hF0mF0,7359.0,4.172,-0.197,14.348,7337.0,4.1126,-0.1618,1.874,1.66,9.16704,1540.14,J034828.53+153354.6,1984-12-24 14:53:00
19860220_J034608.48+161258.9,A,A6,IV,A6IV,3259,kA3hA5mA8,8164.0,4.089,0.208,13.224,8174.0,4.1107,0.215,2.061,2.0,17.09447,1296.61,J034608.48+161258.9,1986-02-20 11:27:00
19860220_J035014.93+160247.5,F,F0,,F0,3376,kA6hA9mA9,7583.0,3.97,0.036,12.029,7584.0,4.0788,0.037,2.006,1.76,11.99812,787.988,J035014.93+160247.5,1986-02-20 11:27:00
19890210_J035023.32+162900.6,A,A7,V,A7V,3378,kA5hA8mA8,7723.0,3.966,0.13,,,,,,,,,J035023.32+162900.6,1989-02-10 11:20:00
19901018_J035222.81+171343.5,F,F2,,F2,3437,kA8hF4mF6,6732.0,4.36,0.156,13.787,5850.0,,-0.128,1.334,,,,J035222.81+171343.5,1990-10-18 17:18:00
19890210_J034650.36+164248.3,F,F0,,F0,3279,kA4hF2mF3,7163.0,3.943,0.292,,,,,,,,,J034650.36+164248.3,1989-02-10 11:20:00
19860220_J034848.11+174404.4,A,A6,IV,A6IV,3336,kA4hA7mA8,,,,12.009,7452.0,4.2166,,1.688,1.71,7.91195,578.967,J034848.11+174404.4,1986-02-20 11:27:00
19861220_J034403.76+165458.2,F,F0,,F0,3191,kA7hA9mF1,7278.0,4.017,0.004,11.827,7251.0,,-0.035,2.019,,,503.229,J034403.76+165458.2,1986-12-20 13:25:00
19901020_J033749.80+172127.3,F,F0,,F0,3007,kA7hF1mF1,7165.0,4.167,-0.041,11.859,7077.0,4.2302,-0.043,1.592,1.57,5.72653,473.521,J033749.80+172127.3,1990-10-20 18:29:00
19890210_J034549.42+173122.4,A,A7,V,A7V,3250,kA5hA9mA9,,,,11.688,7772.0,4.3372,0.2046,1.524,1.84,7.63173,592.974,J034549.42+173122.4,1989-02-10 11:20:00
19890106_J034252.23+173123.7,F,F0,,F0,3153,kA7hF3mF3,6904.0,4.149,-0.455,14.561,6894.0,4.234,-0.471,1.549,1.5,4.88346,1634.3199,J034252.23+173123.7,1989-01-06 12:26:00
19900219_J034316.72+173422.1,F,F0,,F0,3168,kA8hF3mF3,7088.0,4.142,-0.09,12.087,6644.0,3.7854,,2.508,1.4,11.04603,800.174,J034316.72+173422.1,1990-02-19 11:11:00
19890210_J034415.70+175518.3,A,A7,V,A7V,3199,kA8hF0mF6,7461.0,3.823,-0.041,,,,,,,,,J034415.70+175518.3,1989-02-10 11:20:00
19881207_J034754.75+174939.4,A,A6,IV,A6IV,3303,kA2hA5mA8,,,,15.037,7524.0,3.6483,,3.275,1.74,30.96082,4166.2202,J034754.75+174939.4,1988-12-07 15:57:00
19860220_J034832.80+175951.2,A,A7,V,A7V,3326,kA6hF0mA9,,,,11.49,7470.0,3.9015,-0.095,2.432,1.72,16.59831,638.089,J034832.80+175951.2,1986-02-20 11:27:00
19890106_J034717.20+175055.6,A,A7,V,A7V,3288,kA2hA4mA7,7660.0,4.042,-0.28,14.954,7708.0,4.125,-0.269,1.929,1.81,11.83682,2573.4099,J034717.20+175055.6,1989-01-06 12:26:00
19860112_J034146.67+175930.1,F,F0,,F0,3116,kA7hF1mF2,7237.0,4.095,0.1,,,,,,,,,J034146.67+175930.1,1986-01-12 13:18:00
19860129_J034257.77+181512.8,F,F0,,F0,3158,kA7hF0mF0,7483.0,3.982,0.012,12.165,7477.0,4.2389,-0.0016,1.649,1.72,7.66057,548.732,J034257.77+181512.8,1986-01-29 10:57:00
19860129_J034425.36+190948.3,F,F0,,F0,3201,kA7hA9mF1,7494.0,3.835,0.264,10.256,7506.0,3.5633,0.27,3.601,1.73,37.08593,567.818,J034425.36+190948.3,1986-01-29 10:57:00
19841015_J041017.36+154257.7,F,F0,,F0,4035,kA7hF1mF1,7189.0,4.076,-0.154,12.45,7186.0,4.1738,-0.155,1.72,1.61,7.10847,533.478,J041017.36+154257.7,1984-10-15 19:51:00
19841015_J040801.57+154318.9,F,F0,,F0,3955,kA9hF4mF4,6708.0,4.214,-0.163,14.376,6725.0,3.902,-0.1576,2.217,1.43,9.05367,1527.3101,J040801.57+154318.9,1984-10-15 18:41:00
19881031_J041016.39+154429.1,A,A9,V,A9V,4034,kA7hF2mF0,7021.0,4.157,0.021,14.693,6990.0,4.3473,-0.0471,1.378,1.54,4.08149,1050.78,J041016.39+154429.1,1988-10-31 18:45:00
19841015_J040955.27+162326.2,F,F0,,F0,4020,kA7hF1mF1,7276.0,4.0,-0.134,13.392,7282.0,3.9425,-0.1403,2.266,1.64,13.00369,1111.52,J040955.27+162326.2,1984-10-15 19:51:00
19841015_J040641.03+161724.8,A,A1,IV,A1IV,3913,kA1hA2mA3,,,,14.336,8217.0,3.9402,,2.515,2.01,25.98002,2215.6299,J040641.03+161724.8,1984-10-15 19:51:00
19881031_J041245.80+161333.0,A,A5,V,A5V,4123,kA1hA3mF3,,,,12.929,7492.0,3.9565,,2.283,1.72,14.79674,948.232,J041245.80+161333.0,1988-10-31 18:45:00
19901211_J041340.27+163048.4,F,F0,,F0,4154,kA8hF1mF1,7252.0,3.953,0.013,14.59,7250.0,4.3828,0.033,1.361,1.63,4.60683,936.1,J041340.27+163048.4,1990-12-11 15:24:00
19881031_J041316.67+162839.4,F,F0,,F0,4139,kA3hA8mA9,7628.0,3.94,0.236,13.026,7650.0,4.2556,0.292,1.651,1.79,8.40829,531.316,J041316.67+162839.4,1988-10-31 18:45:00
19840124_J041627.97+162736.7,A,A7,V,A7V,4253,kA4hA6mA8,7328.0,4.119,-0.434,14.915,7280.0,4.2601,-0.4593,1.572,1.64,6.25116,1248.05,J041627.97+162736.7,1984-01-24 11:31:00
19830210_J041727.01+165001.3,A,A5,V,A5V,4290,kA3hA8mA9,,,,12.778,8125.0,4.3609,0.3764,1.538,1.98,9.28702,599.463,J041727.01+165001.3,1983-02-10 11:14:00
19901023_J041828.89+165408.9,F,F0,,F0,4336,kA7hF0mF1,7326.0,3.905,0.023,13.52,7312.0,3.6725,0.0278,3.101,1.65,24.76604,1446.5,J041828.89+165408.9,1990-10-23 18:15:00
19841208_J041657.17+171203.5,A,A5,V,A5V,4275,kA6hA7mA9,,,,12.033,7787.0,4.3518,0.194,1.498,1.84,7.43414,558.291,J041657.17+171203.5,1984-12-08 15:14:00
19881031_J041141.51+165320.0,A,A6,IV,A6IV,4081,kA4hF2mF5,7109.0,4.411,0.02,14.366,6780.0,,-0.096,5.967,,,2861.45,J041141.51+165320.0,1988-10-31 18:45:00
19841208_J040917.16+171547.4,A,A2,IV,A2IV,3992,kA2hA5mA6,8305.0,4.182,-0.447,13.398,8296.0,4.3974,-0.45,1.497,2.04,9.56068,986.458,J040917.16+171547.4,1984-12-08 15:14:00
19890208_J040141.04+154841.1,A,A6,IV,A6IV,3759,kA2hA4mA6,,,,13.14,7355.0,4.3032,,1.509,1.67,6.00676,710.725,J040141.04+154841.1,1989-02-08 11:31:00
19881031_J040236.63+162224.1,A,A7,V,A7V,3785,kA3hA5mA8,,,,13.83,7112.0,3.7781,,2.687,1.58,16.64517,1661.1801,J040236.63+162224.1,1988-10-31 18:45:00
19881031_J040341.95+163305.9,F,F0,,F0,3813,kA4hA7mF0,7396.0,3.921,0.241,11.376,7142.0,4.2331,,1.597,1.591,5.97877,350.548,J040341.95+163305.9,1988-10-31 18:45:00
19900219_J040049.94+161341.5,F,F0,,F0,3710,kA6hA8mA9,7090.0,4.158,-0.192,13.79,7076.0,3.997,-0.2112,2.082,1.57,9.78993,1217.74,J040049.94+161341.5,1990-02-19 11:11:00
19841208_J040417.51+162958.2,F,F0,,F0,3837,kA6hF1mF2,7341.0,3.903,0.315,11.701,7356.0,4.1551,0.3068,1.79,1.67,8.45346,527.068,J040417.51+162958.2,1984-12-08 15:14:00
19860210_J040437.32+163741.6,A,A8,II,A8II,3848,kA7hF3mF5,6871.0,4.165,-0.487,,,,,,,,,J040437.32+163741.6,1986-02-10 11:04:00
19901023_J040329.54+164001.3,F,F0,,F0,3806,kA6hF0mF0,7228.0,3.971,-0.172,14.296,7165.0,3.8961,-0.213,2.361,1.6,13.2297,1727.45,J040329.54+164001.3,1990-10-23 18:15:00
19901018_J040305.13+165818.1,F,F0,,F0,3799,kA5hA7mA9,7309.0,4.026,-0.067,12.43,7267.0,4.4022,-0.1074,1.333,1.637,4.46591,445.139,J040305.13+165818.1,1990-10-18 17:18:00
19841217_J035900.88+173003.2,A,A5,V,A5V,3644,kA3hA7mA7,8214.0,4.311,-0.113,15.34,8205.0,4.2647,-0.117,1.731,2.01,12.23559,2761.3899,J035900.88+173003.2,1984-12-17 14:35:00
19890210_J040122.47+175325.9,A,A7,V,A7V,3737,kA7hF0mF0,7521.0,4.042,-0.175,,,,,,,,,J040122.47+175325.9,1989-02-10 11:20:00
19860210_J040228.73+180341.5,F,F0,,F0,3779,kA3hA7mF1,7347.0,3.921,0.36,10.03,7355.0,4.0263,0.3739,2.077,1.671,11.37039,254.443,J040228.73+180341.5,1986-02-10 11:04:00
19901018_J040228.88+180341.5,F,F0,,F0,3780,kA3hF2mF1,7342.0,3.904,0.389,,,,,,,,,J040228.88+180341.5,1990-10-18 17:18:00
19881031_J040642.47+172159.0,A,A5,V,A5V,3914,kA3hA6mA8,8152.0,3.826,0.11,14.547,8147.0,4.2448,0.065,1.762,1.99,12.32489,1496.84,J040642.47+172159.0,1988-10-31 18:45:00
19841208_J040639.23+175332.5,F,F0,,F0,3911,kA3hA7mA9,7452.0,3.989,0.159,12.414,7448.0,4.0983,0.158,1.934,1.71,10.36732,608.167,J040639.23+175332.5,1984-12-08 15:14:00
19891222_J041145.33+180008.2,A,A7,V,A7V,4085,kA5hA7mA8,7443.0,4.144,-0.305,14.754,6722.0,3.5456,,3.341,1.43,20.53412,2653.3,J041145.33+180008.2,1989-12-22 14:08:00
