identifier,class,subclass,luminosity_class,full_class,recno,spt,effective_temperature_1,log_surface_gravity_1,metallicity_fe_h_1,visual_magnitude,effective_temperature_2,log_surface_gravity_2,metallicity_fe_h_2,radius,mass,luminosity,distance,lamost,date
19831018_J061234.21+231257.5,F,F0,,F0,10217,kA3hA8mF3,7366.0,3.964,0.33,13.837,7361.0,3.9227,0.33,2.339,1.67,14.47584,1868.98,J061234.21+231257.5,1983-10-18 20:46:00
19861203_J061222.91+233039.7,A,A1,IV,A1IV,10201,kA1hA2mA3,8447.0,4.115,-0.443,14.623,7310.0,4.0932,,1.911,1.65,9.39133,1789.24,J061222.91+233039.7,1986-12-03 17:59:00
19840106_J061454.24+233508.7,A,A7,V,A7V,10510,kA2hA9mF2,,,,14.408,7417.0,4.1186,0.181,1.883,1.7,9.67143,1525.5601,J061454.24+233508.7,1984-01-06 14:15:00
19870227_J061443.08+233755.8,A,A5,V,A5V,10489,kA2hA8mA9,,,,13.977,8129.0,4.3339,0.552,1.586,1.98,9.90165,1289.41,J061443.08+233755.8,1987-02-27 12:17:00
19871222_J061242.59+233819.8,F,F0,,F0,10231,kA5hF2mF4,7141.0,3.864,0.346,15.038,5975.0,3.6364,,2.639,1.1,7.99978,2104.6499,J061242.59+233819.8,1987-12-22 15:48:00
19870214_J061417.80+234903.4,F,F0,,F0,10437,kA7hF0mF0,7545.0,3.932,0.026,11.858,7554.0,3.8254,0.0266,2.678,1.75,21.04744,652.805,J061417.80+234903.4,1987-02-14 12:23:00
19891031_J061359.88+235005.5,A,A7,V,A7V,10396,kA6hA8mA9,7540.0,3.94,0.168,12.947,7532.0,4.0534,0.174,2.054,1.74,12.23523,935.901,J061359.88+235005.5,1989-10-31 18:29:00
19900123_J060822.12+224111.8,F,F0,,F0,9776,kA7hF1mF9,7196.0,4.02,-0.229,14.708,7420.0,4.1409,,1.836,1.7,9.20226,1538.54,J060822.12+224111.8,1990-01-23 13:54:00
19871218_J060840.24+225242.8,A,A1,IV,A1IV,9817,kA1hA2mA3,,,,15.002,7780.0,4.065,,2.084,1.84,14.33794,2155.6899,J060840.24+225242.8,1987-12-18 15:59:00
19860103_J060910.12+225054.6,A,A7,V,A7V,9870,kA3hA7mA7,7663.0,3.964,0.107,13.78,7656.0,4.0624,0.098,2.062,1.79,13.16082,1436.4301,J060910.12+225054.6,1986-01-03 14:47:00
19871212_J060911.14+225717.1,A,A7,V,A7V,9874,kA5hA7mA8,7670.0,3.977,-0.141,14.026,6330.0,3.4193,,3.613,1.25,18.87977,2096.9399,J060911.14+225717.1,1987-12-12 16:51:00
19861202_J060903.79+225924.3,A,A1,IV,A1IV,9857,kA1hA5mA6,,,,13.936,8707.0,,,6.178,,,4348.6299,J060903.79+225924.3,1986-12-02 17:51:00
19881203_J060749.53+225856.4,A,A3,IV,A3IV,9715,kA2hA5mA9,,,,,,,,,,,,J060749.53+225856.4,1988-12-03 16:42:00
19871119_J060804.14+230329.2,A,A7,V,A7V,9738,kA7hA7mF0,7822.0,3.735,0.053,13.845,7853.0,3.6392,0.072,3.43,1.87,40.31677,1858.8,J060804.14+230329.2,1987-11-19 17:40:00
19870105_J060755.98+231027.1,A,A1,IV,A1IV,9727,kA2hA3mA5,,,,12.821,1003.0,4.5228,,1.454,2.57,19.32624,986.049,J060755.98+231027.1,1987-01-05 16:21:00
19861202_J060819.32+231202.3,F,F0,,F0,9772,kA6hF0mF0,7250.0,3.835,-0.098,14.975,7345.0,3.2911,-0.119,4.84,1.67,61.44276,3778.99,J060819.32+231202.3,1986-12-02 17:51:00
19870316_J061047.39+232043.1,A,A2,IV,A2IV,10039,kA0hA1mA2,,,,14.184,8201.0,4.146,,1.984,2.01,16.04869,2029.0601,J061047.39+232043.1,1987-03-16 11:49:00
19831018_J061017.14+232127.8,A,A1,IV,A1IV,9969,kA1hA4mA5,,,,13.414,7483.0,,,5.358,,,2976.6699,J061017.14+232127.8,1983-10-18 20:46:00
19880117_J061004.68+232209.8,A,A3,V,A3V,9952,kA3hA5mA7,,,,12.384,6880.0,,,17.032,,,4619.96,J061004.68+232209.8,1988-01-17 14:04:00
19900123_J060924.66+231550.7,A,A7,V,A7V,9901,kA5hA8mA9,7646.0,4.028,-0.105,15.697,6830.0,4.3494,,1.343,1.47,3.53512,2096.21,J060924.66+231550.7,1990-01-23 13:54:00
19880213_J060942.17+231937.8,A,A5,V,A5V,9918,kA6hF0mF0,7325.0,3.909,-0.081,14.611,6848.0,3.5924,,3.221,1.48,20.55237,2895.55,J060942.17+231937.8,1988-02-13 12:39:00
19861203_J060840.87+231746.4,A,A1,IV,A1IV,9820,kA1hA2mA3,,,,12.037,9197.0,4.3233,,1.742,2.33,19.55928,878.582,J060840.87+231746.4,1986-12-03 17:59:00
19861202_J060905.20+232242.3,A,A2,IV,A2IV,9861,kA1hA2mA3,,,,13.803,7820.0,3.727,,3.092,1.86,32.21526,2475.3201,J060905.20+232242.3,1986-12-02 17:51:00
19861202_J060957.78+233524.8,F,F0,,F0,9939,kA3hA6mA9,7314.0,3.961,0.144,14.912,6430.0,3.6379,,2.864,1.3,12.63588,2816.78,J060957.78+233524.8,1986-12-02 17:51:00
19870105_J060652.44+230504.2,A,A5,V,A5V,9630,kA1hA2mA3,,,,14.95,7659.0,3.6458,,3.331,1.79,34.39405,3394.21,J060652.44+230504.2,1987-01-05 16:21:00
19871120_J060724.93+230546.9,F,F0,,F0,9672,kA3hA3mA9,6700.0,4.227,-0.506,15.2,6713.0,4.2679,,1.455,1.43,3.87142,1409.5699,J060724.93+230546.9,1987-11-20 18:33:00
19861202_J060640.70+230718.5,F,F0,,F0,9608,kA4hA7mA9,7407.0,3.971,0.053,15.14,7353.0,4.1109,,1.883,1.67,9.3412,2105.53,J060640.70+230718.5,1986-12-02 17:51:00
19860103_J060804.66+231933.0,A,A1,IV,A1IV,9740,kA2hA3mA5,,,,12.468,7561.0,,,,,,911.04,J060804.66+231933.0,1986-01-03 14:47:00
19831113_J060626.87+231828.6,A,A2,IV,A2IV,9579,kA1hA2mA3,,,,14.821,8012.0,4.0657,,2.133,1.93,16.8875,2545.3501,J060626.87+231828.6,1983-11-13 18:06:00
19900123_J060601.67+232155.4,A,A2,IV,A2IV,9533,kA1hA2mA3,,,,14.33,8713.0,4.2403,,1.854,2.18,17.84718,2038.92,J060601.67+232155.4,1990-01-23 13:54:00
19840111_J060641.10+232735.6,A,A5,V,A5V,9611,kA4hA8mA7,7780.0,3.927,-0.314,14.591,7781.0,3.3416,-0.313,4.793,1.84,75.88535,4035.6201,J060641.10+232735.6,1984-01-11 14:29:00
19861202_J060700.55+233151.7,A,A1,IV,A1IV,9642,kA1hA2mA4,,,,14.741,,,,,,,2194.0801,J060700.55+233151.7,1986-12-02 17:51:00
19861202_J060815.86+232429.6,A,A2,V,A2V,9765,kA0hA1mA2,,,,15.218,8426.0,3.8596,,2.814,2.09,35.95663,3976.3899,J060815.86+232429.6,1986-12-02 17:51:00
19880117_J060754.52+232858.0,A,A2,IV,A2IV,9724,kA1hA2mA4,,,,13.74,7826.0,3.7554,,2.993,1.86,30.27254,2249.8899,J060754.52+232858.0,1988-01-17 14:04:00
19871222_J060825.42+233104.7,A,A7,V,A7V,9785,kA6hA7mF1,7791.0,4.291,-0.249,12.236,7844.0,4.2496,,1.699,1.87,9.84328,746.35,J060825.42+233104.7,1987-12-22 15:48:00
19861206_J060915.86+233154.8,A,A1,IV,A1IV,9885,kA1hA2mA3,,,,13.211,7918.0,3.8764,,2.631,1.9,24.52203,1879.58,J060915.86+233154.8,1986-12-06 17:39:00
19831018_J060839.29+233550.1,A,A7,V,A7V,9812,kA4hA9mF2,7403.0,4.073,0.148,12.558,7403.0,,0.147,2.009,,,987.219,J060839.29+233550.1,1983-10-18 20:55:00
19860103_J060853.50+234828.0,F,F0,,F0,9842,kA5hF2mF3,7201.0,4.088,0.23,,,,,,,,,J060853.50+234828.0,1986-01-03 14:47:00
19881203_J060853.23+234832.2,A,A7,V,A7V,9840,kA5hF2mF2,7188.0,4.065,0.213,,,,,,,,,J060853.23+234832.2,1988-12-03 16:42:00
19831018_J060843.04+235129.7,F,F0,,F0,9823,kA7hF1mF0,7163.0,4.137,-0.143,10.633,7164.0,3.9196,-0.144,2.297,1.599,12.51738,497.502,J060843.04+235129.7,1983-10-18 19:52:00
19870227_J060803.22+234407.7,F,F0,,F0,9734,kA6hA9mF1,7346.0,4.016,-0.133,14.807,6537.0,3.9061,,2.144,1.35,7.56022,2004.25,J060803.22+234407.7,1987-02-27 12:17:00
19861206_J060814.27+234637.0,A,A1,IV,A1IV,9758,kA1hA2mA4,,,,,,,,,,,,J060814.27+234637.0,1986-12-06 17:39:00
19871120_J060808.34+235017.5,A,A2,IV,A2IV,9746,kA1hA2mA3,,,,11.512,9789.0,4.3258,,1.799,2.5,26.781,901.085,J060808.34+235017.5,1987-11-20 18:33:00
19861203_J061154.78+232852.1,A,A5,V,A5V,10157,kA2hA8mA9,7663.0,3.883,0.326,12.731,7657.0,3.9752,0.296,2.279,1.79,16.08999,1131.77,J061154.78+232852.1,1986-12-03 17:59:00
19880220_J061103.68+233224.9,A,A5,V,A5V,10070,kA2hA7mA7,,,,11.905,7609.0,4.1585,,1.836,1.77,10.17471,750.183,J061103.68+233224.9,1988-02-20 12:20:00
19861129_J061104.87+233334.6,F,F0,,F0,10072,kA7hF0mF0,7169.0,4.059,0.051,13.781,6383.0,3.8913,,2.123,1.28,6.74141,1220.3101,J061104.87+233334.6,1986-11-29 18:10:00
19870310_J061230.84+233840.2,A,A6,IV,A6IV,10211,kA4hA6mF1,8270.0,4.455,0.025,14.51,7605.0,4.0889,,1.989,1.77,11.91938,2084.24,J061230.84+233840.2,1987-03-10 12:15:00
19871119_J061142.04+233757.2,F,F0,,F0,10134,kA7hF2mF2,6993.0,4.203,-0.139,13.404,7917.0,4.1652,-0.203,1.887,1.9,12.60304,1297.96,J061142.04+233757.2,1987-11-19 17:40:00
19880213_J061137.57+234306.9,A,A1,V,A1V,10123,kF2hF3mF5,,,,14.866,8250.0,3.8591,,2.775,2.03,32.13497,3788.26,J061137.57+234306.9,1988-02-13 12:39:00
19831018_J061201.95+234057.3,A,A1,IV,A1IV,10166,kA1hA2mA3,,,,12.234,8857.0,4.3169,,1.717,2.23,16.34155,923.851,J061201.95+234057.3,1983-10-18 19:52:00
19880213_J061027.54+233128.0,A,A6,IV,A6IV,9991,kA3hA5mA8,8260.0,4.034,-0.434,12.64,7796.0,4.3201,,1.558,1.85,8.0776,956.214,J061027.54+233128.0,1988-02-13 12:39:00
19870227_J061035.54+233446.8,A,A1,IV,A1IV,10002,kA1hA2mA4,,,,13.363,7861.0,3.4829,,4.107,1.87,58.03122,2647.9199,J061035.54+233446.8,1987-02-27 12:17:00
19871222_J061109.23+233952.5,A,A5,V,A5V,10078,kA2hF1mF0,,,,15.779,7487.0,4.2151,,1.695,1.72,8.13699,2687.8999,J061109.23+233952.5,1987-12-22 15:48:00
19891031_J061036.93+233923.3,F,F0,,F0,10010,kA2hA7mF2,7113.0,3.926,0.396,12.675,7093.0,3.8603,0.391,2.437,1.57,13.54342,1030.1,J061036.93+233923.3,1989-10-31 18:29:00
19871119_J061123.46+235158.4,A,A2,V,A2V,10099,kA1hA4mA4,,,,13.089,7741.0,3.3502,,4.733,1.83,72.47826,2638.3301,J061123.46+235158.4,1987-11-19 17:40:00
19861203_J061255.51+235051.9,A,A5,V,A5V,10256,kA2hA3mA5,,,,14.79,7921.0,3.4534,,4.283,1.9,65.0499,4152.23,J061255.51+235051.9,1986-12-03 17:59:00
19871222_J061228.00+234653.1,F,F0,,F0,10209,kA6hF0mF0,7233.0,4.091,-0.133,15.011,,,,,,,1579.35,J061228.00+234653.1,1987-12-22 15:48:00
19870227_J061329.85+235408.6,A,A5,V,A5V,10331,kA3hA5mA7,8092.0,3.865,-0.405,15.298,6647.0,3.3733,,4.032,1.4,28.58504,2749.8799,J061329.85+235408.6,1987-02-27 12:17:00
19831018_J061338.56+235707.6,A,A5,V,A5V,10348,kA3hA5mA7,7595.0,4.116,-0.335,12.695,7587.0,4.4232,-0.34,1.35,1.76,5.43628,655.467,J061338.56+235707.6,1983-10-18 19:52:00
19870205_J061332.03+235832.3,A,A1,IV,A1IV,10337,kA1hA2mA3,,,,,,,,,,,,J061332.03+235832.3,1987-02-05 14:15:00
19900123_J061332.18+235832.3,A,A1,IV,A1IV,10338,kA1hA2mA4,,,,14.82,6669.0,3.7989,,2.478,1.41,10.94702,1690.5,J061332.18+235832.3,1990-01-23 13:54:00
19831113_J061258.53+235909.2,F,F0,,F0,10263,kA2hA6mA9,7519.0,3.798,0.397,14.496,7516.0,4.0147,0.3961,2.141,1.73,13.18276,1620.5601,J061258.53+235909.2,1983-11-13 18:13:00
19831018_J061201.50+235638.5,A,A1,IV,A1IV,10165,kA1hA2mA3,,,,11.976,7705.0,3.9669,,2.314,1.81,17.00554,908.605,J061201.50+235638.5,1983-10-18 19:52:00
19880220_J061158.35+240201.4,A,A7,V,A7V,10161,kA2hA8mF1,7882.0,4.049,0.477,11.293,8729.0,4.3865,,1.57,2.189,12.89194,564.684,J061158.35+240201.4,1988-02-20 12:20:00
19861203_J061244.88+240203.3,A,A1,IV,A1IV,10238,kA1hA2mA4,,,,15.153,7791.0,3.6168,,3.501,1.85,40.69008,3599.96,J061244.88+240203.3,1986-12-03 17:59:00
19860103_J061218.32+240653.2,A,A5,V,A5V,10196,kA2hA8mA7,,,,12.452,7218.0,3.8709,,2.445,1.62,14.62427,1000.44,J061218.32+240653.2,1986-01-03 14:47:00
19861203_J061244.11+241002.0,F,F0,,F0,10234,kA7hA8mF0,7360.0,4.027,-0.204,15.055,7388.0,4.1551,-0.222,1.795,1.68,8.65273,2379.7,J061244.11+241002.0,1986-12-03 17:59:00
19861203_J061237.12+241302.7,A,A5,V,A5V,10224,kA2hA3mA4,,,,14.655,7282.0,3.6993,,2.998,1.64,22.76718,3193.98,J061237.12+241302.7,1986-12-03 17:59:00
